date,event
2024-10-02 16:00:00,Evolución de la distribución del ingreso (EPH). Segundo trimestre de 2024
2024-10-03 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Agosto de 2024
2024-10-08 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Agosto de 2024
2024-10-08 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Agosto de 2024
2024-10-09 16:00:00,Índice de producción industrial minero (IPI minero). Agosto de 2024
2024-10-09 16:00:00,Indicador sintético de servicios públicos (ISSP). Julio de 2024
2024-10-10 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Septiembre de 2024
2024-10-10 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT).  Septiembre de 2024
2024-10-15 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Agosto de 2024
2024-10-15 16:00:00,Índices de patentamientos. Tercer trimestre de 2024
2024-10-16 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia.  Septiembre de 2024"
2024-10-17 16:00:00,Sistema de índices de precios mayoristas (SIPM). Septiembre de 2024
2024-10-17 16:00:00,Índice del costo de la construcción (ICC). Septiembre de 2024
2024-10-18 16:00:00,Intercambio comercial argentino (ICA). Septiembre de 2024
2024-10-18 16:00:00,Cuenta de generación del ingreso e insumo de mano de obra. Segundo trimestre de 2024
2024-10-21 16:00:00,Encuesta de ocupación hotelera (EOH). Agosto de 2024
2024-10-23 16:00:00,Estimador mensual de actividad económica (EMAE). Agosto de 2024
2024-10-24 16:00:00,Encuesta de supermercados. Agosto de 2024
2024-10-24 16:00:00,Encuesta de autoservicios mayoristas. Agosto de 2024
2024-10-24 16:00:00,Encuesta nacional de centros de compras. Agosto de 2024
2024-10-25 16:00:00,Índice de salarios. Agosto de 2024
2024-10-25 16:00:00,Estadísticas de turismo internacional (ETI). Septiembre de 2024
2024-10-31 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades.   Septiembre de 2024"
2024-11-01 16:00:00,Índices de precios y cantidades del comercio exterior. Tercer trimestre de 2024
2024-11-05 16:00:00,Indicadores de condiciones de vida de los hogares (EPH). Primer semestre de 2024
2024-11-05 16:00:00,Bases de microdatos de la Encuesta Permanente de Hogares. Segundo trimestre de 2024
2024-11-06 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Septiembre de 2024
2024-11-06 16:00:00,Argentine Foreign Trade Statistics. Tercer trimestre de 2024
2024-11-07 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Septiembre de 2024
2024-11-07 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Septiembre de 2024
2024-11-08 16:00:00,Índice de producción industrial minero (IPI minero). Septiembre de 2024
2024-11-12 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Octubre de 2024
2024-11-12 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT).   Octubre de 2024
2024-11-12 16:00:00,Índice de salarios. Septiembre de 2024
2024-11-13 16:00:00,Indicador sintético de servicios públicos (ISSP). Agosto de 2024
2024-11-13 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Septiembre de 2024
2024-11-14 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia.   Octubre de 2024"
2024-11-19 16:00:00,Índice del costo de la construcción (ICC). Octubre de 2024
2024-11-19 16:00:00,Sistema de índices de precios mayoristas (SIPM). Octubre de 2024
2024-11-20 16:00:00,Intercambio comercial argentino (ICA). Octubre de 2024
2024-11-21 16:00:00,Encuesta de ocupación hotelera (EOH). Septiembre de 2024
2024-11-22 16:00:00,Estimador mensual de actividad económica (EMAE). Septiembre de 2024
2024-11-25 16:00:00,Estadísticas de turismo internacional (ETI). Octubre de 2024
2024-11-26 16:00:00,Encuesta nacional de centros de compras. Septiembre de 2024
2024-11-26 16:00:00,Encuesta de supermercados. Septiembre de 2024
2024-11-26 16:00:00,Encuesta de autoservicios mayoristas. Septiembre de 2024
2024-11-26 16:00:00,Encuesta de comercios de electrodomésticos y artículos para el hogar. Tercer trimestre de 2024
2024-11-28 16:00:00,Informe de la industria de maquinaria agrícola. Tercer trimestre de 2024
2024-11-29 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades.   Octubre de 2024"
2024-12-03 16:00:00,Formación bruta de capital fijo del sector gobierno general. Año 2023
2024-12-03 16:00:00,Cuentas por sectores institucionales. Sector Gobierno General. Año 2023
2024-12-03 16:00:00,Cuentas por sectores institucionales. Sector sociedades financieras. Subsectores banco central y 
2024-12-03 16:00:00,sociedades de depósito excepto el banco central. Año 2023
2024-12-04 16:00:00,Accesos a internet. Tercer trimestre de 2024
2024-12-04 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Octubre de 2024
2024-12-05 16:00:00,Índice de producción industrial minero (IPI minero). Octubre de 2024
2024-12-06 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Octubre de 2024
2024-12-06 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Octubre de 2024
2024-12-10 16:00:00,Indicador sintético de servicios públicos (ISSP). Septiembre de 2024
2024-12-11 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Noviembre de 2024
2024-12-11 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT).   Noviembre de 2024
2024-12-12 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Octubre de 2024
2024-12-13 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia.  "
2024-12-13 16:00:00,Gran Buenos Aires. Noviembre de 2024
2024-12-16 16:00:00,Informe de avance del nivel de actividad. Tercer trimestre de 2024
2024-12-17 16:00:00,Índice del costo de la construcción (ICC). Noviembre de 2024
2024-12-17 16:00:00,Sistema de índices de precios mayoristas (SIPM). Noviembre de 2024
2024-12-18 16:00:00,Mercado de trabajo. Tasas e indicadores socioeconómicos. Tercer trimestre de 2024
2024-12-18 16:00:00,Intercambio comercial argentino (ICA). Noviembre de 2024
2024-12-19 16:00:00,Evolución de la distribución del ingreso (EPH). Tercer trimestre de 2024
2024-12-19 16:00:00,Encuesta de ocupación hotelera (EOH). Octubre de 2024
2024-12-20 16:00:00,Estimador mensual de actividad económica (EMAE). Octubre de 2024
2024-12-20 16:00:00,Índice de salarios. Octubre de 2024
2024-12-20 16:00:00,"Balanza de pagos, posición de inversión internacional y deuda externa. Tercer trimestre de 2024"
2024-12-23 16:00:00,Indicadores del sector energético. Tercer trimestre de 2024
2024-12-23 16:00:00,Industria farmacéutica en la Argentina. Tercer trimestre de 2024
2024-12-23 16:00:00,Estadísticas de turismo internacional (ETI). Noviembre de 2024
2024-12-26 16:00:00,Encuesta de supermercados. Octubre de 2024
2024-12-26 16:00:00,Encuesta de autoservicios mayoristas. Octubre de 2024
2024-12-26 16:00:00,Encuesta nacional de centros de compras. Octubre de 2024
2024-12-27 16:00:00,Estadísticas de productos industriales (EPI)
2024-12-30 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades.   Noviembre de 2024"
2024-12-30 16:00:00,Segundo semestre de 2024
2024-07-04 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Mayo de 2024
2024-07-04 16:00:00,Índice de producción industrial minero (IPI minero). Mayo de 2024
2024-07-05 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Mayo de 2024
2024-07-05 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Mayo de 2024
2024-07-11 16:00:00,Indicador sintético de servicios públicos (ISSP). Abril de 2024
2024-07-12 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Junio de 2024
2024-07-12 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT).   Junio de 2024
2024-07-12 16:00:00,Estadísticas de turismo internacional (ETI). Mayo de 2024
2024-07-15 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Mayo de 2024
2024-07-16 16:00:00,Cuenta de generación del ingreso e insumo de mano de obra. Primer trimestre de 2024
2024-07-16 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia.   Junio de 2024"
2024-07-17 16:00:00,Índice del costo de la construcción (ICC). Junio de 2024
2024-07-17 16:00:00,Sistema de índices de precios mayoristas (SIPM). Junio de 2024
2024-07-18 16:00:00,Estimador mensual de actividad económica (EMAE). Mayo de 2024
2024-07-18 16:00:00,Intercambio comercial argentino (ICA). Junio de 2024
2024-07-19 16:00:00,Índices de patentamientos. Segundo trimestre de 2024
2024-07-23 16:00:00,Encuesta de ocupación hotelera (EOH). Mayo de 2024
2024-07-24 16:00:00,Encuesta nacional de centros de compras. Mayo de 2024
2024-07-24 16:00:00,Encuesta de supermercados. Mayo de 2024
2024-07-24 16:00:00,Encuesta de autoservicios mayoristas. Mayo de 2024
2024-07-25 16:00:00,Índice de salarios. Mayo de 2024
2024-07-31 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades. Junio de 2024"
2024-08-02 16:00:00,Argentine Foreign Trade Statistics. Segundo trimestre de 2024
2024-08-02 16:00:00,Bases de microdatos de la Encuesta Permanente de Hogares. Primer trimestre de 2024
2024-08-06 16:00:00,Índices de precios y cantidades del comercio exterior. Segundo trimestre de 2024
2024-08-07 16:00:00,Índice de producción industrial minero (IPI minero). Junio de 2024
2024-08-07 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Junio de 2024
2024-08-07 16:00:00,"Remuneración al trabajo asalariado, ingreso mixto e insumo de la mano de obra, por sexo y tramos de edad.  Año 2023"
2024-08-08 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Junio de 2024
2024-08-08 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Junio de 2024
2024-08-08 16:00:00,Estadísticas de turismo internacional (ETI). Junio de 2024
2024-08-13 16:00:00,Indicador sintético de servicios públicos (ISSP). Mayo de 2024
2024-08-14 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Julio de 2024
2024-08-14 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT). Julio de 2024
2024-08-14 16:00:00,Índice de salarios. Junio de 2024
2024-08-15 16:00:00,"Cuenta satélite de cultura. Valor agregado bruto, comercio exterior, puestos de trabajo, generación del ingreso y "
2024-08-15 16:00:00,consumo privado cultural. Año 2023
2024-08-15 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Junio de 2024
2024-08-16 16:00:00,Sistema de índices de precios mayoristas (SIPM). Julio de 2024
2024-08-16 16:00:00,Índice del costo de la construcción (ICC). Julio de 2024
2024-08-16 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia. Julio de 2024"
2024-08-20 16:00:00,Intercambio comercial argentino (ICA). Julio de 2024
2024-08-21 16:00:00,Estimador mensual de actividad económica (EMAE). Junio de 2024
2024-08-21 16:00:00,Encuesta de ocupación hotelera (EOH). Junio de 2024
2024-08-22 16:00:00,Encuesta de supermercados. Junio de 2024
2024-08-22 16:00:00,Encuesta de autoservicios mayoristas. Junio de 2024
2024-08-22 16:00:00,Encuesta nacional de centros de compras. Junio de 2024
2024-08-22 16:00:00,Encuesta de comercios de electrodomésticos y artículos para el Hogar. Segundo trimestre de 2024
2024-08-26 16:00:00,Estadísticas de turismo internacional (ETI). Julio de 2024
2024-08-27 16:00:00,Ingreso nacional y ahorro nacional. Año 2023
2024-08-28 16:00:00,Informe de la industria de maquinaria agrícola. Segundo trimestre de 2024
2024-08-29 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades. Julio de 2024"
2024-09-03 16:00:00,Complejos exportadores. Primer semestre de 2024
2024-09-04 16:00:00,Accesos a internet. Segundo trimestre de 2024
2024-09-05 16:00:00,Índice de Producción Industrial Minero (IPI Minero). Julio de 2024
2024-09-05 16:00:00,Índice de producción industrial pesquero (IPI pesquero). Julio 2024
2024-09-06 16:00:00,Origen provincial de las exportaciones. Primer semestre de 2024
2024-09-09 16:00:00,Índice de producción industrial manufacturero (IPI manufacturero). Julio de 2024
2024-09-09 16:00:00,Indicadores de coyuntura de la actividad de la construcción (ISAC). Julio de 2024
2024-09-10 16:00:00,Indicador sintético de servicios públicos (ISSP). Junio de 2024
2024-09-11 16:00:00,Índice de precios al consumidor (IPC). Cobertura nacional. Agosto de 2024
2024-09-11 16:00:00,Valorización mensual de la canasta básica alimentaria (CBA) y de la canasta básica total (CBT). Agosto de 2024
2024-09-12 16:00:00,Utilización de la capacidad instalada en la industria (UCII). Julio de 2024
2024-09-13 16:00:00,"Valorización mensual de la canasta de crianza de la primera infancia, la niñez y la adolescencia. Agosto de 2024"
2024-09-17 16:00:00,Índice del costo de la construcción (ICC). Agosto de 2024
2024-09-17 16:00:00,Sistema de índices de precios mayoristas (SIPM). Agosto de 2024
2024-09-18 16:00:00,Informe de avance del nivel de actividad. Segundo trimestre de 2024
2024-09-19 16:00:00,Mercado de trabajo. Tasas e indicadores socioeconómicos. Segundo trimestre de 2024
2024-09-19 16:00:00,Intercambio comercial argentino (ICA). Agosto de 2024
2024-09-20 16:00:00,Encuesta de ocupación hotelera (EOH). Julio de 2024
2024-09-24 16:00:00,Industria farmacéutica en la Argentina. Segundo trimestre de 2024
2024-09-24 16:00:00,Indicadores del sector energético. Segundo trimestre de 2024
2024-09-25 16:00:00,Encuesta de supermercados. Julio de 2024
2024-09-25 16:00:00,Encuesta de autoservicios mayoristas. Julio de 2024
2024-09-25 16:00:00,Encuesta nacional de centros de compras. Julio de 2024
2024-09-25 16:00:00,Estimador mensual de actividad económica (EMAE). Julio de 2024
2024-09-26 16:00:00,Incidencia de la pobreza y de la indigencia. Primer semestre de 2024
2024-09-26 16:00:00,Estadísticas de turismo internacional (ETI). Agosto de 2024
2024-09-27 16:00:00,"Balanza de pagos, posición de inversión internacional y deuda externa. Segundo trimestre de 2024"
2024-09-27 16:00:00,Índice de salarios. Julio de 2024
2024-09-27 16:00:00,Estadísticas de Productos Industriales (EPI)
2024-09-30 16:00:00,"Dotación de personal de la administración pública nacional, empresas y sociedades. Agosto de 2024"
