;actividad;empleo;desempleo;sub-total;sub-dem;sub-Ndem
1/5/2000;0.424;0.359;0.154;0.145;0.095;0.05
1/10/2000;0.427;0.365;0.147;0.146;0.093;0.053
1/5/2001;0.428;0.358;0.164;0.149;0.096;0.053
1/10/2001;0.422;0.345;0.183;0.163;0.107;0.056
1/5/2002;0.418;0.328;0.215;0.186;0.127;0.059
1/10/2002;0.429;0.353;0.178;0.199;0.138;0.061
1/1/2003;0.456;0.363;0.204;0.177;0.12;0.057
1/4/2003;0.456;0.374;0.178;0.178;0.118;0.06
1/7/2003;0.462783093;0.388057662;0.161469665;0.165357119;0.115464978;0.049892141
1/10/2003;0.463461303;0.396504275;0.144471669;0.16170226;0.113089888;0.048612372
1/1/2004;0.461420193;0.395543561;0.142769287;0.154399908;0.103175949;0.051223959
1/4/2004;0.467270254;0.398798909;0.146534782;0.151055055;0.106173134;0.044881922
1/7/2004;0.466855566;0.405551177;0.131313393;0.15031435;0.10453353;0.04578082
1/10/2004;0.464927088;0.409034115;0.120218793;0.141191297;0.096459759;0.044731538
1/1/2005;0.460867504;0.401330506;0.129184631;0.124638875;0.088231695;0.03640718
1/4/2005;0.459957731;0.40492602;0.119645147;0.127523971;0.089075877;0.038448094
1/7/2005;0.46703076;0.415088686;0.111217672;0.129693777;0.088665567;0.04102821
1/10/2005;0.464669732;0.418037826;0.100354948;0.118227642;0.083816402;0.03441124
1/1/2006;0.464406121;0.411889515;0.113083363;0.109751777;0.077388582;0.032363195
1/4/2006;0.469780504;0.42127609;0.103249098;0.120514288;0.081049291;0.039464997
1/7/2006;0.467141436;0.419985385;0.100945982;0.108532475;0.073424244;0.035108231
1/10/2006;0.464324975;0.424279883;0.086243674;0.107414646;0.07457814;0.032836506
1/1/2007;0.465736943;0.420610128;0.096893355;0.092714702;0.064237832;0.028476869
1/4/2007;0.463679664;0.425250897;0.082877837;0.10001127;0.070951081;0.029060189
1/7/2007;0.462;0.424;0.081;0.074;0.058;0.016
1/10/2007;0.456288514;0.421964361;0.075224669;0.091093532;0.060654843;0.030438689
1/1/2008;0.458283942;0.420197927;0.083105716;0.082652788;0.059014632;0.023638156
1/4/2008;0.458328586;0.421872856;0.079540599;0.086654362;0.062590714;0.024063649
1/7/2008;0.455462613;0.42005077;0.077749176;0.093847497;0.065786921;0.028060576
1/10/2008;0.46208291;0.428449641;0.072786223;0.091256418;0.060228207;0.03102821
1/1/2009;0.465159512;0.426267308;0.083610468;0.090409204;0.060288481;0.030120723
1/4/2009;0.463192131;0.422712941;0.08739179;0.105132619;0.074251222;0.030881397
1/7/2009;0.461220491;0.419306953;0.090875274;0.105764584;0.073305605;0.032458979
1/10/2009;0.463159488;0.424382951;0.083721781;0.102949497;0.068876737;0.03407276
1/1/2010;0.46;0.422;0.083;0.092;0.066;0.027
1/4/2010;0.461;0.425;0.079;0.099;0.067;0.031
1/7/2010;0.459;0.425;0.075;0.088;0.061;0.027
1/10/2010;0.458;0.424;0.073;0.084;0.055;0.028
1/1/2011;0.458;0.424;0.074;0.082;0.058;0.024
1/4/2011;0.466;0.432;0.073;0.084;0.057;0.027
1/7/2011;0.467;0.434;0.072;0.088;0.06;0.028
1/10/2011;0.461;0.43;0.067;0.085;0.059;0.026
1/1/2012;0.455;0.423;0.071;0.074;0.05;0.024
1/4/2012;0.462;0.428;0.072;0.094;0.067;0.027
1/7/2012;0.469;0.433;0.076;0.089;0.062;0.027
1/10/2012;0.463;0.431;0.069;0.09;0.064;0.026
1/1/2013;0.458;0.422;0.079;0.08;0.055;0.025
1/4/2013;0.465;0.431;0.072;0.097;0.067;0.03
1/7/2013;0.461;0.429;0.068;0.087;0.058;0.029
1/10/2013;0.456;0.427;0.064;0.078;0.051;0.027
1/1/2014;0.45;0.418;0.071;0.081;0.055;0.026
1/4/2014;0.446;0.414;0.071;0.094;0.051;0.025
1/7/2014;0.447;0.413;0.075;0.092;0.063;0.029
1/10/2014;0.452;0.421;0.069;0.091;0.061;0.03
1/1/2015;0.446;0.414;0.071;0.076;0.051;0.025
1/4/2015;0.445;0.415;0.066;0.09;0.063;0.028
1/7/2015;0.448;0.422;0.059;0.086;0.059;0.027
1/10/2015;;;;;;
1/1/2016;;;;;;
1/4/2016;0.46;0.417;0.093;0.112;0.077;0.035
1/7/2016;0.46;0.421;0.085;0.102;0.07;0.032
1/10/2016;0.453;0.419;0.076;0.103;0.072;0.031
1/1/2017;0.455;0.413;0.092;0.099;0.066;0.033
1/4/2017;0.454;0.415;0.087;0.11;0.074;0.036
1/7/2017;0.463;0.424;0.083;0.108;0.079;0.029
1/10/2017;0.464;0.43;0.072;0.102;0.072;0.03
1/1/2018;0.467;0.424;0.091;0.098;0.068;0.03
1/4/2018;0.464;0.419;0.096;0.112;0.077;0.035
1/7/2018;0.467;0.425;0.09;0.118;0.083;0.035
1/10/2018;0.465;0.422;0.091;0.12;0.087;0.033
1/1/2019;0.47;0.423;0.101;0.118;0.084;0.034
1/4/2019;0.477;0.426;0.106;0.131;0.092;0.039
1/7/2019;0.472;0.426;0.097;0.128;0.095;0.033
1/10/2019;0.472;0.43;0.089;0.131;0.095;0.036
1/1/2020;0.471;0.422;0.104;0.117;0.082;0.035
1/4/2020;0.384;0.334;0.131;0.096;0.05;0.046
1/7/2020;0.423;0.374;0.117;0.134;0.081;0.053
1/10/2020;0.450311562;0.400966727;0.109579322;0.151022543;0.102795878;0.048226665
1/1/2021;0.463;0.416;0.102;0.119;0.087;0.032
1/4/2021;0.459053078;0.414979836;0.096009033;0.124099987;0.084965786;0.039134201
1/7/2021;0.467;0.429;0.082;0.122;0.083;0.039
1/10/2021;0.469;0.436;0.07;0.121;0.086;0.035
1/1/2022;0.465;0.433;0.07;0.1;0.069;0.031
1/4/2022;0.479;0.446;0.069;0.111;0.077;0.035
1/7/2022;0.476;0.442;0.071;0.11;0.076;0.034
1/10/2022;0.476149413;0.44623864;0.062818039;0.108865955;0.071107382;0.037758573
1/1/2023;0.482872785;0.449677563;0.068745275;0.094065943;0.06345292;0.030613023
1/4/2023;0.476;0.446;0.062;0.106;0.074;0.032
1/7/2023;0.482281778;0.454666179;0.057260299;0.103219222;0.067875461;0.035343761
1/10/2023;0.486;0.458;0.057;0.105;0.068;0.037
